epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,816.715,0.63585,0.58416,1.04642,0.70403,0.58116,0.57015,0.4712,0.91059,0.83694,1.29354,0.00046045,0.00046045,0.00046045
111,823.956,0.61452,0.59142,1.02793,0.70487,0.59247,0.56261,0.45791,0.93597,0.85633,1.32155,0.0004555,0.0004555,0.0004555
112,831.176,0.61158,0.56764,1.02409,0.75693,0.59362,0.5707,0.46106,0.93202,0.86873,1.32113,0.00045055,0.00045055,0.00045055
113,838.346,0.62513,0.55553,1.03733,0.83038,0.52417,0.58458,0.49464,0.94559,0.91265,1.3457,0.0004456,0.0004456,0.0004456
114,845.579,0.64863,0.6366,1.05114,0.80564,0.53227,0.58708,0.49457,0.90546,0.86902,1.301,0.00044065,0.00044065,0.00044065
115,852.784,0.60669,0.55203,1.02888,0.73562,0.53863,0.55999,0.47426,0.97954,0.93924,1.37759,0.0004357,0.0004357,0.0004357
116,859.999,0.56524,0.53817,1.00719,0.89677,0.50443,0.59603,0.49054,0.96828,0.96841,1.35732,0.00043075,0.00043075,0.00043075
117,867.197,0.62754,0.56415,1.01401,0.83738,0.54793,0.59632,0.49423,0.96301,0.95919,1.33649,0.0004258,0.0004258,0.0004258
118,874.421,0.61304,0.53172,1.03689,0.76885,0.55526,0.58981,0.49142,0.8886,0.88724,1.29913,0.00042085,0.00042085,0.00042085
119,881.682,0.5638,0.52858,1.00738,0.84099,0.55724,0.6047,0.49357,0.94708,0.83922,1.34304,0.0004159,0.0004159,0.0004159
120,888.948,0.64035,0.53521,1.04405,0.8231,0.55919,0.55034,0.42873,0.99903,0.86247,1.41297,0.00041095,0.00041095,0.00041095
121,896.184,0.61086,0.55211,1.0399,0.79407,0.56278,0.55005,0.42492,1.02549,0.89734,1.45262,0.000406,0.000406,0.000406
122,903.462,0.58574,0.54742,1.03305,0.85317,0.50909,0.5988,0.47965,0.97447,0.9016,1.36574,0.00040105,0.00040105,0.00040105
123,910.735,0.61131,0.55058,1.0212,0.89509,0.50788,0.59165,0.48988,0.95183,0.85823,1.36232,0.0003961,0.0003961,0.0003961
124,918.016,0.56774,0.53323,1.00175,0.70597,0.56643,0.57157,0.46938,0.965,0.92725,1.37243,0.00039115,0.00039115,0.00039115
125,925.254,0.57151,0.52762,0.99844,0.72581,0.56468,0.55981,0.45818,0.89942,0.89504,1.28916,0.0003862,0.0003862,0.0003862
126,932.504,0.59512,0.56506,1.03405,0.78411,0.53042,0.55793,0.45966,0.90223,0.94551,1.30753,0.00038125,0.00038125,0.00038125
127,939.735,0.55057,0.51119,0.98128,0.69315,0.58846,0.54992,0.45141,0.86888,0.87369,1.2708,0.0003763,0.0003763,0.0003763
128,946.941,0.57077,0.56946,0.99814,0.71046,0.58048,0.55919,0.46662,0.86513,0.92497,1.26924,0.00037135,0.00037135,0.00037135
129,954.122,0.54703,0.53125,0.9886,0.90489,0.48584,0.59275,0.50645,0.88441,0.92799,1.27785,0.0003664,0.0003664,0.0003664
